currents,frequencies,response
-3.0,6275000000.0,-61.128871829376635
-3.0,6275025000.0,-61.48919074724704
-3.0,6275050000.0,-61.044795723442306
-3.0,6275075000.0,-61.181110934442316
-3.0,6275100000.0,-61.166323185517264
-3.0,6275125000.0,-61.165100236363195
-3.0,6275150000.0,-61.36535305538318
-3.0,6275175000.0,-61.12141741744489
-3.0,6275200000.0,-61.29739286847876
-3.0,6275225000.0,-61.04756021091069
-3.0,6275250000.0,-61.17651325922904
-3.0,6275275000.0,-61.39394672270532
-3.0,6275300000.0,-61.16165883426481
-3.0,6275325000.0,-61.3291410354567
-3.0,6275350000.0,-60.97611940967837
-3.0,6275375000.0,-61.22153777368274
-3.0,6275400000.0,-61.17777502895553
-3.0,6275425000.0,-60.986824324465445
-3.0,6275450000.0,-61.246094789573284
-3.0,6275475000.0,-61.158597931333176
-3.0,6275500000.0,-61.2418971896324
-3.0,6275525000.0,-61.09202630780615
-3.0,6275550000.0,-61.003493041526326
-3.0,6275575000.0,-61.2977273860601
-3.0,6275600000.0,-60.96600647305712
-3.0,6275625000.0,-61.40026857636501
-3.0,6275650000.0,-61.11898111814841
-3.0,6275675000.0,-61.122647844600316
-3.0,6275700000.0,-61.2780519046137
-3.0,6275725000.0,-61.135958418423456
-3.0,6275750000.0,-61.40236586197695
-3.0,6275775000.0,-61.07276308739506
-3.0,6275800000.0,-60.91526696327441
-3.0,6275825000.0,-61.0348667237647
-3.0,6275850000.0,-61.057633375882546
-3.0,6275875000.0,-61.20630922309548
-3.0,6275900000.0,-61.06081108314014
-3.0,6275925000.0,-61.07623156609564
-3.0,6275950000.0,-60.94289009926973
-3.0,6275975000.0,-60.903831853372196
-3.0,6276000000.0,-61.189880000870545
-3.0,6276025000.0,-60.867827162853715
-3.0,6276050000.0,-61.23195439305399
-3.0,6276075000.0,-60.93940863662038
-3.0,6276100000.0,-60.893969549264504
-3.0,6276125000.0,-60.82560737133784
-3.0,6276150000.0,-61.008043993687565
-3.0,6276175000.0,-61.253423494593164
-3.0,6276200000.0,-60.88067936922166
-3.0,6276225000.0,-61.124608113346554
-3.0,6276250000.0,-60.975692764941755
-3.0,6276275000.0,-60.9626604029091
-3.0,6276300000.0,-61.132782725192776
-3.0,6276325000.0,-60.87716364710807
-3.0,6276350000.0,-61.06003591670216
-3.0,6276375000.0,-60.942258896487836
-3.0,6276400000.0,-60.888395108244495
-3.0,6276425000.0,-60.948195782342076
-3.0,6276450000.0,-60.726655176202186
-3.0,6276475000.0,-61.06144943852272
-3.0,6276500000.0,-60.68510486719164
-3.0,6276525000.0,-61.06193710463828
-3.0,6276550000.0,-60.91479740398274
-3.0,6276575000.0,-60.85197537713084
-3.0,6276600000.0,-61.08014300623167
-3.0,6276625000.0,-60.71145873401956
-3.0,6276650000.0,-61.0718436074547
-3.0,6276675000.0,-60.83667042971564
-3.0,6276700000.0,-60.820158729667504
-3.0,6276725000.0,-60.95239402737587
-3.0,6276750000.0,-60.69926075238767
-3.0,6276775000.0,-61.109260037823276
-3.0,6276800000.0,-60.66435733390997
-3.0,6276825000.0,-60.818726556426284
-3.0,6276850000.0,-60.58451185669
-3.0,6276875000.0,-60.79320901724411
-3.0,6276900000.0,-60.889430479721156
-3.0,6276925000.0,-60.70762017452684
-3.0,6276950000.0,-60.919859828082714
-3.0,6276975000.0,-60.670956019446805
-3.0,6277000000.0,-60.466730689926756
-3.0,6277025000.0,-60.954110057575654
-3.0,6277050000.0,-60.48430617437863
-3.0,6277075000.0,-60.9609420690812
-3.0,6277100000.0,-60.64427356097194
-3.0,6277125000.0,-60.718008753241705
-3.0,6277150000.0,-60.390879183496075
-3.0,6277175000.0,-60.361915970607356
-3.0,6277200000.0,-60.814192890898155
-3.0,6277225000.0,-60.58135883742952
-3.0,6277250000.0,-60.70501155579343
-3.0,6277275000.0,-60.51519769981105
-3.0,6277300000.0,-60.45289615518688
-3.0,6277325000.0,-60.6323550232824
-3.0,6277350000.0,-60.46752013750143
-3.0,6277375000.0,-60.80944566285297
-3.0,6277400000.0,-60.46591780042795
-3.0,6277425000.0,-60.355325183183695
-3.0,6277450000.0,-60.410677738633964
-3.0,6277475000.0,-60.53195015503754
-3.0,6277500000.0,-60.907918238437816
-3.0,6277525000.0,-60.46593924988157
-3.0,6277550000.0,-60.49755971168305
-3.0,6277575000.0,-60.475625511238874
-3.0,6277600000.0,-60.4706486421606
-3.0,6277625000.0,-60.549137678354455
-3.0,6277650000.0,-60.30951655911838
-3.0,6277675000.0,-60.64222006910776
-3.0,6277700000.0,-60.396066135431866
-3.0,6277725000.0,-60.28671845423055
-3.0,6277750000.0,-60.32593617867411
-3.0,6277775000.0,-60.3814271296823
-3.0,6277800000.0,-60.62416945958396
-3.0,6277825000.0,-60.19856184962748
-3.0,6277850000.0,-60.441471507312905
-3.0,6277875000.0,-60.415261861751766
-3.0,6277900000.0,-60.45810553485001
-3.0,6277925000.0,-60.58814278707567
-3.0,6277950000.0,-60.25674066422458
-3.0,6277975000.0,-60.556208366467814
-3.0,6278000000.0,-60.25960408620958
-3.0,6278025000.0,-60.28027768370223
-3.0,6278050000.0,-60.537599874515735
-3.0,6278075000.0,-60.31022404786999
-3.0,6278100000.0,-60.51361424495093
-3.0,6278125000.0,-60.17012049258199
-3.0,6278150000.0,-60.250181097143276
-3.0,6278175000.0,-60.19038300763682
-3.0,6278200000.0,-60.21606056778475
-3.0,6278225000.0,-60.52600062351195
-3.0,6278250000.0,-60.26892028049963
-3.0,6278275000.0,-60.560139874322196
-3.0,6278300000.0,-60.26720855438495
-3.0,6278325000.0,-60.21283528644301
-3.0,6278350000.0,-60.45548063026885
-3.0,6278375000.0,-60.158563084602164
-3.0,6278400000.0,-60.37323117011768
-3.0,6278425000.0,-59.98795368938473
-3.0,6278450000.0,-60.01851485079294
-3.0,6278475000.0,-60.022790751602756
-3.0,6278500000.0,-60.08195121556661
-3.0,6278525000.0,-60.23913755024761
-3.0,6278550000.0,-59.84694471354048
-3.0,6278575000.0,-60.21937816434513
-3.0,6278600000.0,-60.04763354136592
-3.0,6278625000.0,-59.949866764065256
-3.0,6278650000.0,-60.235825073448204
-3.0,6278675000.0,-59.88245776088429
-3.0,6278700000.0,-60.253578396038456
-3.0,6278725000.0,-59.81866898209362
-3.0,6278750000.0,-59.87214595676572
-3.0,6278775000.0,-59.90059901394416
-3.0,6278800000.0,-59.933647810500304
-3.0,6278825000.0,-60.089560423670434
-3.0,6278850000.0,-59.81078253040313
-3.0,6278875000.0,-60.007864749752244
-3.0,6278900000.0,-59.924011738769295
-3.0,6278925000.0,-59.64296629982349
-3.0,6278950000.0,-60.000433596033844
-3.0,6278975000.0,-59.67688936034164
-3.0,6279000000.0,-60.05377276914844
-3.0,6279025000.0,-59.757928714526464
-3.0,6279050000.0,-59.58474110189877
-3.0,6279075000.0,-59.82257970345089
-3.0,6279100000.0,-59.61992851151557
-3.0,6279125000.0,-59.856267965422475
-3.0,6279150000.0,-59.60273433059983
-3.0,6279175000.0,-59.49348926138407
-3.0,6279200000.0,-59.52490805537786
-3.0,6279225000.0,-59.55542333216869
-3.0,6279250000.0,-59.67253975917376
-3.0,6279275000.0,-59.498325714709665
-3.0,6279300000.0,-59.558745762312896
-3.0,6279325000.0,-59.562233099160636
-3.0,6279350000.0,-59.32992354778287
-3.0,6279375000.0,-59.38429351349468
-3.0,6279400000.0,-59.344639455764145
-3.0,6279425000.0,-59.57352518665257
-3.0,6279450000.0,-59.267416119070916
-3.0,6279475000.0,-59.38836361913823
-3.0,6279500000.0,-59.18880558404841
-3.0,6279525000.0,-59.10282911411364
-3.0,6279550000.0,-59.50978900716617
-3.0,6279575000.0,-59.077654428471
-3.0,6279600000.0,-59.31013231866058
-3.0,6279625000.0,-59.211382169071605
-3.0,6279650000.0,-59.181245903596455
-3.0,6279675000.0,-59.51569546418928
-3.0,6279700000.0,-59.26968173160938
-3.0,6279725000.0,-59.464617603550465
-3.0,6279750000.0,-59.418415130185274
-3.0,6279775000.0,-59.439398047537736
-3.0,6279800000.0,-59.50940521187804
-3.0,6279825000.0,-59.42986651199867
-3.0,6279850000.0,-59.805823984113886
-3.0,6279875000.0,-59.88000979756163
-3.0,6279900000.0,-60.19333008688932
-3.0,6279925000.0,-60.13297474990815
-3.0,6279950000.0,-60.55513309557079
-3.0,6279975000.0,-60.746801593023335
-3.0,6280000000.0,-61.126572204293
-3.0,6280025000.0,-62.1087365298927
-3.0,6280050000.0,-62.42098638318646
-3.0,6280075000.0,-62.64479176099314
-3.0,6280100000.0,-63.740122057931984
-3.0,6280125000.0,-64.84337221549383
-3.0,6280150000.0,-66.41637029606117
-3.0,6280175000.0,-68.59082509415107
-3.0,6280200000.0,-72.48379700455824
-3.0,6280225000.0,-76.39127380419437
-3.0,6280250000.0,-80.23206334142995
-3.0,6280275000.0,-84.17002755878956
-3.0,6280300000.0,-77.24259166389709
-3.0,6280325000.0,-72.22272712738813
-3.0,6280350000.0,-70.59685130570215
-3.0,6280375000.0,-68.13575135693983
-3.0,6280400000.0,-67.96695353223072
-3.0,6280425000.0,-66.75900501418793
-3.0,6280450000.0,-66.1133158654014
-3.0,6280475000.0,-65.64933891810855
-3.0,6280500000.0,-64.78074925194842
-3.0,6280525000.0,-64.32745848147692
-3.0,6280550000.0,-64.21912610679938
-3.0,6280575000.0,-63.9350258515688
-3.0,6280600000.0,-63.41720225332323
-3.0,6280625000.0,-63.436526366632776
